phonon-qt6-mpv 0.1.0-4
phonon-qt6-mpv-debug 0.1.0-4
pinentry 1.3.2-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.5.4-1
playerctl 2.4.1-5
plocate 1.1.23-1
polkit 127-3
polkit-kde-agent 6.5.4-1
polkit-qt6 0.200.0-1
poppler 25.12.0-1
poppler-data 0.4.12-2
poppler-glib 25.12.0-1
poppler-qt6 25.12.0-1
popt 1.19-2
portaudio 1:19.7.0-3
postman-bin 11.79.5-1
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protobuf 33.1-3
psmisc 23.7-1
pugixml 1.15-2
purpose 6.22.0-1
pyenv 1:2.6.17-2
python 3.14.2-2
python-aaf2 1.7.1-4
python-autocommand 2.2.2-9
python-cairo 1.29.0-2
python-dbus 1.4.0-2
python-distutils-extra 2.39-15
python-gobject 3.54.5-2
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-more-itertools 10.8.0-2
python-packaging 25.0-4
python-platformdirs 4.5.1-3
python-pycups 2.0.4-4
python-setuptools 1:80.9.0-4
python-tqdm 4.67.1-5
python-wheel 0.45.1-4
qbittorrent 5.1.4-1
qca-qt6 2.3.10-4
qgpgme 2.0.0-2
qpdf 12.2.0-1
qqc2-desktop-style 6.22.0-1
qrcodegencpp-cmake 1.8.0-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt6-5compat 6.10.1-1
qt6-base 6.10.1-1
qt6-charts 6.10.1-1
qt6-declarative 6.10.1-2
qt6-imageformats 6.10.1-1
qt6-multimedia 6.10.1-1
qt6-multimedia-ffmpeg 6.10.1-1
qt6-networkauth 6.10.1-1
qt6-positioning 6.10.1-1
qt6-shadertools 6.10.1-1
qt6-speech 6.10.1-1
qt6-svg 6.10.1-1
qt6-tools 6.10.1-1
qt6-translations 6.10.1-1
qt6-virtualkeyboard 6.10.1-1
qt6-wayland 6.10.1-1
qt6-webchannel 6.10.1-1
qt6-webengine 6.10.1-2
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
redland 1:1.0.17-9
rhash 1.4.6-1
ripgrep 15.1.0-1
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
rtkit 0.14-1
rubberband 4.0.0-1
runc 1.4.0-1
rustup 1.28.2-4
sassc 3.6.2-5
sbc 2.1-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl2-compat 2.32.62-1
sdl3 3.4.0-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
shaderc 2025.5-1
shadow 4.18.0-1
shared-mime-info 2.4-2
signon-kwallet-extension 25.12.1-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simde 0.8.2-1
simdjson 1:4.2.4-1
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.23.4-2
snappy 1.2.2-2
sndio 1.10.0-1
sof-firmware 2025.12-1
solid 6.22.0-1
sonnet 6.22.0-1
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-16
spdlog 1.16.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.335.0-1
sqlite 3.51.2-1
sratom 0.6.20-1
srt 1.5.4-1
starship 1.24.2-1
sudo 1.9.17.p2-2
svt-av1 3.1.2-1
swaync 0.12.3-1
swayosd-git 0.2.1.r15.g10edcd9-1
swayosd-git-debug 0.2.1.r15.g10edcd9-1
syndication 6.22.0-1
syntax-highlighting 6.22.0-1
system-config-printer 1.5.18-6
systemd 259-2
systemd-libs 259-2
systemd-sysvcompat 259-2
taglib 2.1.1-1
talloc 2.4.3-2
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.14-2
telegram-desktop 6.4.2-1
tevent 1:0.17.1-2
texinfo 7.2-1
throne 1.0.13-1
throne-debug 1.0.13-1
tinysparql 3.10.1-2
tk 8.6.16-1
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
traceroute 2.1.6-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-jetbrains-mono-nerd 3.4.0-1
tzdata 2025c-1
uchardet 0.0.8-3
udisks2 2.11.0-1
ufrii-print 3-1
ufrii-print-debug 3-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.0-1
usbutils 019-1
uthash 2.3.0-2
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
v4l-utils 1.32.0-1
vapoursynth 73-2
